# iterations	 errorinentropy	 maxerror
1.268e+10	0.02012	0.134
1.27e+10	0.02205	0.14
1.272e+10	0.02206	0.141
1.274e+10	0.02198	0.14
1.276e+10	0.02151	0.14
1.278e+10	0.02133	0.14
1.28e+10	0.0213	0.14
1.282e+10	0.02119	0.14
1.284e+10	0.0205	0.139
1.286e+10	0.02089	0.14
1.288e+10	0.02031	0.139
1.291e+10	0.02007	0.138
1.293e+10	0.0197	0.138
1.295e+10	0.01973	0.138
1.297e+10	0.01984	0.138
1.299e+10	0.0193	0.139
1.302e+10	0.01954	0.138
1.304e+10	0.02022	0.138
1.306e+10	0.02082	0.136
1.308e+10	0.02033	0.136
1.311e+10	0.02102	0.135
1.313e+10	0.02059	0.135
1.315e+10	0.02121	0.135
1.317e+10	0.02053	0.134
1.32e+10	0.01997	0.133
1.322e+10	0.0202	0.133
1.324e+10	0.02016	0.134
1.327e+10	0.0195	0.134
1.329e+10	0.02021	0.135
1.331e+10	0.02086	0.134
1.333e+10	0.0202	0.135
1.335e+10	0.02003	0.135
1.337e+10	0.02305	0.134
1.34e+10	0.02307	0.134
1.342e+10	0.02309	0.134
1.344e+10	0.0227	0.134
1.346e+10	0.02213	0.133
1.348e+10	0.02189	0.134
1.35e+10	0.0216	0.135
1.353e+10	0.02118	0.134
1.355e+10	0.02081	0.133
1.358e+10	0.02022	0.133
1.36e+10	0.02014	0.134
1.362e+10	0.01969	0.133
1.365e+10	0.01926	0.132
1.367e+10	0.01897	0.132
1.369e+10	0.01824	0.132
1.372e+10	0.01838	0.131
1.374e+10	0.01828	0.131
1.377e+10	0.01821	0.131
1.379e+10	0.01852	0.131
1.381e+10	0.01828	0.13
1.384e+10	0.01786	0.13
1.387e+10	0.01768	0.13
1.389e+10	0.01767	0.13
1.391e+10	0.01723	0.13
1.394e+10	0.01746	0.129
1.396e+10	0.01696	0.129
1.399e+10	0.01637	0.129
1.401e+10	0.01668	0.129
1.404e+10	0.01733	0.129
1.406e+10	0.0197	0.129
1.409e+10	0.01984	0.13
1.411e+10	0.01983	0.13
1.414e+10	0.01989	0.13
1.416e+10	0.02124	0.136
1.419e+10	0.02058	0.135
1.422e+10	0.02028	0.134
1.424e+10	0.01971	0.134
1.427e+10	0.01948	0.134
1.43e+10	0.01931	0.135
1.432e+10	0.01899	0.134
1.435e+10	0.01878	0.133
