# iterations	 errorinentropy	 maxerror
5.832e+09	1.571	26.06
5.846e+09	1.57	26.06
5.859e+09	1.57	26.05
5.873e+09	1.569	26.04
5.886e+09	1.568	26.04
5.9e+09	1.568	26.03
5.913e+09	1.567	26.02
5.926e+09	1.565	26.02
5.94e+09	1.564	26.02
5.953e+09	1.563	26.01
5.967e+09	1.562	26.01
5.98e+09	1.56	26
5.994e+09	1.559	26
6.007e+09	1.558	25.99
6.021e+09	1.558	25.99
6.034e+09	1.557	25.99
6.048e+09	1.557	25.98
6.062e+09	1.556	25.98
6.075e+09	1.558	25.98
6.089e+09	1.557	25.98
6.102e+09	1.557	25.97
6.116e+09	1.556	25.97
6.129e+09	1.555	25.97
6.143e+09	1.554	25.96
6.156e+09	1.554	25.96
6.17e+09	1.553	25.95
6.183e+09	1.552	25.95
6.197e+09	1.551	25.95
6.21e+09	1.551	25.94
6.224e+09	1.551	25.94
6.237e+09	1.55	25.93
6.251e+09	1.549	25.93
6.264e+09	1.549	25.93
6.278e+09	1.548	25.93
6.291e+09	1.547	25.92
6.305e+09	1.546	25.92
6.318e+09	1.546	25.92
6.332e+09	1.546	25.91
6.345e+09	1.544	25.91
6.359e+09	1.543	25.91
6.372e+09	1.543	25.9
6.386e+09	1.542	25.9
6.399e+09	1.541	25.9
6.412e+09	1.541	25.89
6.426e+09	1.54	25.89
6.439e+09	1.539	25.89
6.453e+09	1.539	25.88
6.466e+09	1.538	25.88
6.48e+09	1.547	25.97
6.493e+09	1.546	25.96
6.507e+09	1.545	25.96
6.52e+09	1.544	25.95
6.534e+09	1.544	25.95
6.547e+09	1.543	25.94
6.561e+09	1.542	25.94
6.574e+09	1.542	25.94
6.588e+09	1.541	25.93
6.601e+09	1.54	25.93
6.615e+09	1.54	25.93
6.628e+09	1.539	25.92
6.642e+09	1.538	25.92
6.655e+09	1.538	25.92
6.669e+09	1.537	25.92
6.682e+09	1.537	25.92
6.696e+09	1.536	25.91
6.709e+09	1.536	25.91
6.723e+09	1.535	25.91
6.736e+09	1.535	25.9
6.75e+09	1.534	25.9
6.763e+09	1.539	25.9
6.777e+09	1.539	25.89
6.79e+09	1.538	25.89
6.804e+09	1.537	25.88
6.817e+09	1.536	25.88
